Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 17.74      0.06     0.06 11782531     0.00     0.00  std::vector<Sheep, std::allocator<Sheep> >::push_back(Sheep const&)
  9.68      0.09     0.03      500     0.06     0.59  go()
  8.06      0.11     0.03 23580128     0.00     0.00  Sheep const& std::forward<Sheep const&>(std::remove_reference<Sheep const&>::type&)
  6.45      0.13     0.02     1028     0.02     0.02  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::_M_gen_rand()
  4.84      0.14     0.01 11782531     0.00     0.00  void __gnu_cxx::new_allocator<Sheep>::construct<Sheep, Sheep const&>(Sheep*, Sheep const&)
  3.23      0.15     0.01 11782531     0.00     0.00  void std::allocator_traits<std::allocator<Sheep> >::construct<Sheep, Sheep const&>(std::allocator<Sheep>&, Sheep*, Sheep const&)
  3.23      0.17     0.01  3683373     0.00     0.00  std::vector<std::vector<Patch, std::allocator<Patch> >, std::allocator<std::vector<Patch, std::allocator<Patch> > > >::operator[](unsigned long)
  3.23      0.17     0.01   641264     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::operator()()
  3.23      0.18     0.01   335184     0.00     0.00  int std::uniform_int_distribution<int>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, std::uniform_int_distribution<int>::param_type const&)
  3.23      0.20     0.01   172878     0.00     0.00  std::_Vector_base<Sheep, std::allocator<Sheep> >::_M_get_Tp_allocator()
